county,you,he,she,it,we,they,me,him,her,us,them,mine,yours,his,hers,its,ours,theirs
"alabama,autauga",22019.08,2698.73,2326.1,12973.49,3848.43,2823.37,12423.45,1019.34,1621.53,750.35,1346.19,321.13,125.27,996.45,6.36,837.47,17.8,12.72
"alabama,baldwin",21464.65,2471.27,2173.79,12353.6,4102.31,2732.04,12239.23,903.47,1574.81,861.88,1307.67,326.33,118.61,952.48,9.76,631.66,15.06,12.73
"alabama,barbour",19130.86,3369.55,2493.92,12132.32,3878.71,2724.18,12683.64,1303.71,1615.05,716.72,1375.06,272.42,123.24,1332.9,12.97,940.49,12.97,9.73
"alabama,bibb",18698.73,2513.25,2127.05,15910.45,3288.59,3089.64,21554.3,942.1,1676.48,825.07,1398.53,178.47,105.33,886.51,2.93,848.48,17.55,11.7
"alabama,blount",23782.76,2622.67,1978.64,12695.63,4236.46,2504.23,13100.66,1071.28,1559.86,971.87,1196.07,282.36,147,986.67,14.8,739.21,10.57,7.4
"alabama,bullock",20630.41,3735.94,4071.22,13519.93,3030.55,4328.12,11312.33,1371.59,2460.15,518.15,1828.78,134.98,100.15,1145.17,17.42,539.93,8.71,17.42
"alabama,butler",19222.4,2952.58,3253.96,12047.24,3484.43,3448.98,14116.63,1031.47,2085.5,709.13,1374.76,357.79,127.32,1044.36,4.84,705.91,11.28,6.45
"alabama,calhoun",21913.62,2658.18,2787.03,12730.49,3851.17,3026.32,12747.81,963.88,1947.46,699.25,1420.59,327.64,127.33,975.57,12.99,710.51,13.86,11.69
"alabama,chambers",23101.72,2557.53,2806.07,11361.34,3749.08,3071.01,15521.59,891.86,1761.42,619.05,1480.09,287.23,157.39,1043.34,11.8,885.3,13.12,17.05
"alabama,cherokee",15888.32,1506.36,1265.68,8511.36,2531.36,1368.35,8312.76,757.39,942.53,526.81,716.99,235.63,100.98,521.76,5.05,459.48,8.41,0
"alabama,chilton",23601.67,2812.87,2720.07,13565.15,4129.17,2776.6,13026.47,1062.43,1812.31,717.88,1328.03,414.94,137.6,951.49,11.73,674.15,23.47,24.53
"alabama,choctaw",11970.41,2007.04,1704.66,8806.78,2271.62,1700.88,9789.51,805.08,1046.99,275.92,929.81,158.75,71.81,563.18,3.78,1043.21,3.78,3.78
"alabama,clarke",18410.81,2476.06,2604.53,12181.73,3628.44,2542.24,11734.02,953.83,1728.57,689.09,1358.72,319.24,97.33,930.47,15.57,879.86,11.68,7.79
"alabama,clay",20193.72,3054.57,2759.27,12945.9,3725.49,2771.08,12844.32,1202.46,1868.65,592.96,1396.17,377.98,125.21,975.67,16.54,800.85,4.72,7.09
"alabama,cleburne",22278,2569.22,1961.21,12453.23,4115.74,2413.32,12743.2,1362.56,1462.34,791.97,1200.42,324.27,174.61,891.74,9.35,636.07,15.59,15.59
"alabama,coffee",21394.48,3047.55,2078.29,12630.51,3962.72,2957.39,12290.89,1188.67,1399.05,770.9,1378.01,338.12,138.25,1053.42,7.51,888.12,21.04,6.01
"alabama,colbert",23111.22,2879.58,2675.22,12319.02,4312.36,3169.84,13639.22,1031.75,1830.2,752.79,1458.1,374.81,155.53,1001.45,16.28,703.96,15.37,9.95
"alabama,conecuh",19059.39,2577.3,2935.45,11236.19,4810.49,2478.99,11720.75,1032.33,2106.79,842.71,1250.03,294.95,119.39,1004.24,14.04,800.58,14.04,14.04
"alabama,coosa",19782.88,2841.02,3707.66,12250.27,3401.41,3248.28,15778.74,1202.22,2208.96,573.42,1557.35,221.55,133.58,808,3.26,834.06,19.55,0
"alabama,covington",21039.02,2720.31,3380.68,13338.13,3330.59,3222.08,13235.18,816.18,1945.86,595.44,1470.99,325.55,103.88,989.62,12.06,1248.39,10.2,16.7
"alabama,crenshaw",23056.1,2861.67,2541.6,12189.9,4280.3,2698.92,13996.41,1139.24,1779.39,764.92,1375.23,314.65,119.35,1093.13,24.41,1068.72,24.41,8.14
"alabama,cullman",21133.11,2590.89,1612.01,12667.08,4290.03,2231.22,10381.16,939.95,1256.05,971.47,1143.88,306.83,120.51,1099.39,2.78,517.25,26.88,7.42
"alabama,dale",20127.23,2438.11,2529.15,12503.6,3476.96,2878.35,11904.99,905.41,1641.21,648.5,1455.39,274.37,113.49,910.4,9.98,1032.61,8.73,16.21
"alabama,dallas",16367.46,3686.1,3116.95,11536.18,3148.81,3338.24,13904.03,1443.1,2069.93,547.62,1547.28,268.64,136.04,1248.5,13.78,985.03,10.33,10.33
