"county","ass","asshole","bastard","bitch","bitched","bitchy","bloody","bullshit","cock","crap","crappy","cunt","damn","damnit","damned","darn","dick","dickhead","douche","douchebag","dumbass","dyke","fag","faggot","fatass","freaking","friggin","fuck","fucked","fucker","fuckery","fucking","goddamn","gosh","hell","hoe","homo","jackass","motherfucker","motherfucking","nigger","piss","pissed","pissy","pussy","shit","shittiest","shitty","slut","slutty","twat","whore"
"alabama,autauga",1520.421,49.6,9.538,962.106,6.995,8.903,5.087,120.184,15.897,146.255,13.354,22.892,1206.925,19.077,8.903,13.99,210.481,3.179,14.626,6.359,43.241,2.544,42.605,40.697,6.359,167.876,2.544,1441.57,212.388,21.62,6.359,592.017,5.087,69.948,695.667,268.347,17.169,13.354,12.082,3.179,5.087,69.948,169.148,11.446,197.763,2352.169,1.908,52.779,37.518,3.179,3.179,46.42
"alabama,baldwin",1246.775,54.318,6.578,807.348,2.334,7.851,14.004,98.452,7.002,109.91,10.397,9.124,907.073,9.76,10.185,10.185,113.729,2.971,18.884,5.729,29.069,2.546,19.521,15.489,4.031,170.593,2.546,1137.714,139.191,15.065,2.546,462.767,5.941,81.69,573.101,252.92,7.426,4.668,4.456,2.546,2.971,71.081,152.77,4.456,103.969,1733.094,3.395,41.163,31.615,5.305,3.819,32.676
"alabama,barbour",2263.661,29.188,3.243,959.948,3.243,6.486,3.243,74.591,3.243,113.507,19.458,3.243,1258.31,0,25.945,22.701,136.209,0,3.243,3.243,22.701,0,9.729,0,0,175.126,3.243,1115.615,158.91,12.972,3.243,376.196,9.729,64.861,901.573,369.71,3.243,0,19.458,3.243,3.243,64.861,139.452,6.486,204.313,2085.293,9.729,22.701,32.431,0,0,25.945
"alabama,bibb",1451.192,14.629,2.926,1009.398,0,8.777,0,105.328,0,90.699,8.777,2.926,1176.168,17.555,2.926,17.555,93.625,2.926,5.852,0,11.703,2.926,2.926,8.777,0,187.251,8.777,1351.715,236.989,20.481,17.555,833.85,8.777,38.035,506.162,298.431,2.926,0,5.852,5.852,0,67.293,201.88,0,152.141,2390.371,0,20.481,29.258,0,0,29.258
"alabama,blount",559.433,72.969,4.23,506.556,2.115,5.288,3.173,101.523,9.518,201.988,6.345,9.518,469.543,13.748,23.266,8.46,59.222,9.518,13.748,4.23,25.381,0,16.92,32.783,4.23,195.643,5.288,775.168,88.832,12.69,3.173,319.374,4.23,132.191,379.653,131.134,1.058,2.115,7.403,3.173,0,102.58,155.457,10.575,32.783,905.244,2.115,43.359,35.956,4.23,2.115,45.474
"alabama,bullock",2168.413,56.605,0,1184.354,0,8.708,0,182.878,8.708,21.771,4.354,0,1240.96,0,0,4.354,300.443,0,4.354,0,52.251,17.417,13.063,52.251,0,47.897,0,1941.993,278.672,21.771,8.708,574.76,13.063,30.48,735.867,335.277,0,4.354,30.48,0,13.063,65.314,117.565,4.354,296.089,3239.557,4.354,65.314,21.771,4.354,0,13.063
"alabama,butler",2638.306,38.68,11.282,1806.683,6.447,4.835,3.223,164.39,9.67,46.738,4.835,0,1513.359,3.223,11.282,14.505,267.537,0,4.835,1.612,29.01,0,6.447,12.893,1.612,78.972,1.612,2427.177,328.781,17.728,14.505,676.902,27.398,48.35,862.244,515.735,1.612,0,9.67,4.835,0,78.972,262.702,11.282,269.149,3932.477,0,35.457,19.34,6.447,4.835,24.175
"alabama,calhoun",1604.872,38.763,8.012,917.534,2.166,5.197,4.115,95.5,8.446,74.711,6.713,10.395,1027.543,14.292,14.292,12.344,147.689,0.65,7.363,2.815,18.84,3.898,11.044,9.312,3.032,104.378,2.599,1305.163,188.184,12.127,8.879,401.056,7.363,52.189,747.323,293.645,6.063,1.083,7.579,7.146,3.032,57.17,159.816,4.331,161.332,2190.864,0.866,25.337,19.273,3.248,1.083,20.573
"alabama,chambers",1881.425,34.756,5.902,1438.12,1.312,1.967,20.329,155.419,7.869,55.741,3.935,8.525,1080.065,13.116,8.525,10.492,172.469,1.967,0.656,0,26.231,0,9.181,9.837,8.525,127.221,1.312,1800.109,220.997,17.706,5.246,445.273,15.739,58.364,908.252,398.713,3.935,3.279,21.641,11.148,1.967,53.774,172.469,2.623,255.097,2863.124,0.656,8.525,16.394,1.967,1.312,28.198
"alabama,cherokee",380.377,37.028,1.683,272.66,1.683,6.732,5.049,40.394,1.683,121.182,15.148,3.366,336.617,5.049,11.782,6.732,38.711,1.683,6.732,1.683,15.148,0,1.683,10.099,0,107.717,13.465,464.532,50.493,33.662,5.049,323.152,1.683,42.077,373.645,69.006,5.049,10.099,0,0,0,42.077,72.373,1.683,26.929,540.27,1.683,18.514,10.099,1.683,6.732,38.711
